Term,Course/Section,Course Offering Id,Days Met,Start Date,End Date,Start Time,End Time,Room,Instructor
202211 (CS Spring)  ,LAND 112/501 LAB,26340,MW,1/18/2022,5/10/2022,3:51 PM,5:30 PM,ARCA 348,Reid
202211 (CS Spring)  ,LAND 112/501 LEC,26340,MW,1/18/2022,5/10/2022,3:00 PM,3:50 PM,ARCA 348,Reid
202211 (CS Spring)  ,LAND 112/502 LAB,26341,MW,1/18/2022,5/10/2022,3:51 PM,5:30 PM,ARCA 348,Reid
202211 (CS Spring)  ,LAND 112/502 LEC,26341,MW,1/18/2022,5/10/2022,3:00 PM,3:50 PM,ARCA 348,Reid
202211 (CS Spring)  ,LAND 212/501 LAB,26342,MWF,1/18/2022,5/10/2022,8:51 AM,10:50 AM,ARCA 300A,Reid
202211 (CS Spring)  ,LAND 212/501 LEC,26342,MW,1/18/2022,5/10/2022,8:00 AM,8:50 AM,ARCA 348,Reid
202211 (CS Spring)  ,LAND 212/502 LAB,26343,MWF,1/18/2022,5/10/2022,8:51 AM,10:50 AM,ARCA 300A,Song
202211 (CS Spring)  ,LAND 212/502 LEC,26343,MW,1/18/2022,5/10/2022,8:00 AM,8:50 AM,ARCA 348,Song
202211 (CS Spring)  ,LAND 232/501 LAB,26344,TR,1/18/2022,5/10/2022,12:01 PM,1:40 PM,ARCA 300A,Hurst
202211 (CS Spring)  ,LAND 232/501 LEC,26344,TR,1/18/2022,5/10/2022,11:10 AM,12:00 PM,ARCA 348,Hurst
202211 (CS Spring)  ,LAND 232/502 LAB,26345,TR,1/18/2022,5/10/2022,12:01 PM,1:40 PM,ARCA 300A,Song
202211 (CS Spring)  ,LAND 232/502 LEC,26345,TR,1/18/2022,5/10/2022,11:10 AM,12:00 PM,ARCA 348,Song
202211 (CS Spring)  ,LAND 240/500 LEC,36556,MWF,1/18/2022,5/10/2022,10:20 AM,11:10 AM,BLOC 160,Pap
